"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"1",2015-01-01,"Quarter1","sweing","Thursday","8",0.718836379670222,1.01412826525339,1.07166993618011,0.750275323665145,0.373258129849334,-0.0574486796102864,-0.112957450703015,-0.351470593022467,1.09876954165785,1.17850190692338
"2",2015-01-01,"Quarter1","finishing","Thursday","1",0.208064002568681,-1.01635285688169,0.890389919281006,-1.0772321233772,-0.238543487914275,-0.0574486796102864,-0.112957450703015,-0.351470593022467,-1.19876716701099,0.867732948678204
"3",2015-01-01,"Quarter1","sweing","Thursday","11",0.718836379670222,-0.333738366226917,-1.22567331790924,-0.270978837917343,0.0736001946181785,-0.0574486796102864,-0.112957450703015,-0.351470593022467,-0.185148030833561,0.375266099849493
"4",2015-01-01,"Quarter1","sweing","Thursday","12",0.718836379670222,-0.333738366226917,-0.0839691683650017,-0.270978837917343,0.0736001946181785,-0.0574486796102864,-0.112957450703015,-0.351470593022467,-0.185148030833561,0.375266099849493
"5",2015-01-01,"Quarter1","sweing","Thursday","6",0.718836379670222,0.990369260223908,-0.689265489578247,-0.79056428854703,0.0736001946181785,-0.0574486796102864,-0.112957450703015,-0.351470593022467,0.963620323500863,0.374185520644816
"6",2015-01-01,"Quarter1","sweing","Thursday","7",0.718836379670222,0.990369260223908,0.193122744560242,0.64277488560383,-0.00131428918961032,-0.0574486796102864,-0.112957450703015,-0.351470593022467,0.963620323500863,0.372712960112927
"7",2015-01-01,"Quarter1","finishing","Thursday","2",0.208064002568681,-1.01635285688169,-0.0970830544829369,-1.0772321233772,-0.238543487914275,-0.0574486796102864,-0.112957450703015,-0.351470593022467,-1.19876716701099,0.115054222196008
"8",2015-01-01,"Quarter1","sweing","Thursday","3",0.208064002568681,1.18957937931727,3.28435039520264,0.696525104634487,0.0423858263649332,-0.0574486796102864,-0.112957450703015,-0.351470593022467,1.03119493257936,0.106553982522258
"9",2015-01-01,"Quarter1","sweing","Thursday","2",0.208064002568681,0.439343105117043,0.192144021391869,0.427774009481201,-0.0262857837922066,-0.0574486796102864,-0.112957450703015,-0.351470593022467,0.9185705841152,0.103195887272014
"10",2015-01-01,"Quarter1","sweing","Thursday","1",0.208064002568681,1.18957937931727,-1.2024188041687,0.696525104634487,0.0423858263649332,-0.0574486796102864,-0.112957450703015,-0.351470593022467,1.03119493257936,0.087895657592446
"11",2015-01-01,"Quarter1","sweing","Thursday","9",-0.302708374532861,1.18957937931727,0.939317047595978,0.696525104634487,0.0361429527142841,-0.0574486796102864,-0.112957450703015,-0.351470593022467,1.03119493257936,-0.0800292725069196
"12",2015-01-01,"Quarter1","sweing","Thursday","10",0.208064002568681,0.388169863515079,1.01476263999939,0.571107926896287,0.0423858263649332,-0.0574486796102864,-0.112957450703015,-0.351470593022467,0.873520844729536,-0.131160094876618
